# ID, Class
TranID1003251350714125894,Flare
TranID1003251350764149360,CV
TranID1003261210784136534,SN
TranID1004040040714119969,SN
TranID1004041090614113948,CV
TranID1004041120654104491,SN
TranID1004041150544106133,SN
TranID1004041150614117315,Flare
TranID1004041151104175718,SN
TranID1004050010754107909,HPM
TranID1004050040634107943,SN
TranID1004050070644127898,HPM
TranID1004051040704109194,AGN
TranID1004051210244130526,AGN
TranID1004060010564103401,SN
TranID1004060210604138682,CV
TranID1004061090274153419,SN
TranID1004071150784109051,SN
TranID1004071320444118377,CV
TranID1004071380344122080,SN
TranID1004080070584127163,Blazar
TranID1004080180844150528,SN
TranID1004081010524121675,SN
TranID1004081380334102480,SN
TranID1004091010754106753,HPM
TranID1004091010834148007,Flare
TranID1004091010844148312,HPM
TranID1004091040814104323,SN?
TranID1004091090804129788,CV
TranID1004091290464116616,Flare
TranID1004100040684115432,Flare
TranID1004101290744110897,SN
TranID1004111380424133800,SN
TranID1004121040434181465,CV
TranID1004121380694101469,CV
TranID1004121520304104992,SN
TranID1004131180704112066,HPM
TranID1004131230754130596,SN
TranID1004131350784173934,HPM
TranID1004131380744132697,SN
TranID1004140040514122049,SN
TranID1004140090504113929,SN
TranID1004140120624106849,AGN
TranID1004140210704122813,SN
TranID1004150010694108608,SN
TranID1004151010454133296,Unknown
TranID1004151150734108242,CV?
TranID1004191430464114479,HPM
TranID1005041181134116156,HPM
TranID1005050070674106140,HPM
TranID1005050120664115036,SN
TranID1005051070454130612,SN
TranID1005051320614126059,HPM
TranID1005051351044153553,SN
TranID1005051400544133814,HPM
TranID1005051400624118443,SN?
TranID1005051430554108525,Flare
TranID1005060010834124002,Flare
TranID1005061010744108108,SN
TranID1005061090834125680,CV
TranID1005070120884134627,CV
TranID1005071070854230456,CV
TranID1005071380464123897,SN
TranID1005081150664109930,SN?
TranID1005081320414119007,CV
TranID1005091210564106606,HPM
TranID1005091210604139795,HPM
TranID1005100040634116249,HPM
TranID1005101400754113773,CV
TranID1005111520404109745,AGN
TranID1005121230594128285,SN
TranID1005121260534125277,AGN
TranID1005121320394119966,SN
TranID1005121520304133272,SN
TranID1005131040794117717,CV?
TranID1005131040854136966,Unknown
TranID1005131230814132089,Unknown
TranID1005131430674125159,SN
TranID1005141460504111692,SN
TranID1005160010664133006,Unknown
TranID1005161210744109926,HPM
TranID1005161260774132329,SN
TranID1005161320714104287,SN
TranID1005170210614102666,HPM
TranID1005171121124143302,HPM
TranID1005171320634115687,Blazar
TranID1005190040804138874,CV
TranID1005190041194148620,CV
TranID1005190070794133742,CV
TranID1005190070924141578,HPM
TranID1005190120754106709,HPM
TranID1005191091214128907,HPM
TranID1005201181164141253,SN
TranID1005201211104177844,HPM
TranID1005211180714134371,CV
TranID1005211231124153471,AGN
TranID1005211231134127528,SN
TranID1005211291074109408,Unknown
TranID1005220040824107195,AGN
TranID1005220040824111377,SN
TranID1005220181054122486,AGN
TranID1005220181054132860,SN
TranID1005221090464126949,SN
TranID1005221320424122472,CV
TranID1005231260844160317,CV
TranID1005240011164146595,HPM
TranID1005240011164150713,SN
TranID1005240041134109468,SN
TranID1005251350714115578,SN
TranID1005310120804134102,Blazar
TranID1005310150824158354,SN
TranID1005311010844137345,SN
TranID1005311150714116242,AGN
TranID1005311180534119112,HPM
TranID1006010010864157554,HPM
TranID1006010010894143612,Unknown
TranID1006010090734137695,SN
TranID1006010090764153269,HPM
TranID1006021120924132981,Unknown
TranID1006021180014134943,HPM
TranID1006030090614101504,HPM
TranID1006031120774105805,AGN
TranID1006031290644120885,SN
TranID1006040091104115912,SN
TranID1006041460464125448,SN
TranID1006050040614118156,Flare
TranID1006051260794137291,Flare
TranID1006051260804124282,CV
TranID1006060121154131888,CV
TranID1006091120874119140,HPM
TranID1006100040914187524,Unknown
TranID1006101210764122437,SN
TranID1006101261134132083,SN
TranID1006111070024108613,HPM
TranID1006111211094112014,SN?
TranID1006121320624133575,Blazar
TranID1006121350814122213,AGN
TranID1006130071114181704,HPM
TranID1006130121084195532,SN?
TranID1006130181084128419,SN
TranID1006151090584119491,SN
TranID1006151091174130008,HPM
TranID1006151121184152430,Blazar
TranID1006151460624145312,SN
TranID1006160040844142308,AGN
TranID1006160180694102054,AGN
TranID1006160180694138373,SN
TranID1006161120874112489,AGN?
TranID1006161180864132491,Flare
TranID1006161260854116897,Blazar
TranID1006161320804115382,CV
TranID1006171071214126085,SN
TranID1006181091224121586,HPM
TranID1006181091244116352,HPM
TranID1006181180794136057,HPM
TranID1006190010914178052,SN
TranID1006191261154142735,SN?
TranID1006200121124103071,SN
TranID1006241011224119188,SN
TranID1006241041184114393,SN
TranID1007041231134130770,SN
TranID1007041260754143937,SN
TranID1007041260814105618,SN
TranID1007050090724111231,AGN
TranID1007051071254133856,HPM
TranID1007051090844114842,HPM
TranID1007051120804138886,SN
TranID1007051120874117074,SN
TranID1007060070824111635,SN
TranID1007060070834117534,SN
TranID1007060071224126730,SN
TranID1007060090764128700,SN
TranID1007061070934182952,HPM
TranID1007071040904138258,SN
TranID1007071210894180794,SN?
TranID1009101091244136375,Flare
TranID1009101260024128411,AGN
TranID1009101290064106299,HPM
TranID1009101320014148188,HPM
TranID1009110011274140658,CV
TranID1009110041254104463,HPM
TranID1009110041274116358,Flare
TranID1009111040054133182,SN?
TranID1009111120144117146,HPM
TranID1009111150134118640,AGN
TranID1009121011214116857,CV
TranID1009151090134116882,SN
TranID1009151090134126964,SN
TranID1009160011174125237,HPM
TranID1009160150044112016,SN?
TranID1009160180054126884,SN
TranID1009161040164122231,SN?
TranID1009161090214101803,AGN
TranID1009161290084131880,SN
TranID1009171380014137774,SN
TranID1009301041244110121,HPM
TranID1009301150144112871,CV
TranID1010011210274162919,CV
TranID1010011230154142022,SN
TranID1010030010154103863,Blazar
TranID1010031010184135661,SN?
TranID1010031070194113030,Flare
TranID1010070070134135189,CV
TranID1010070120014131116,SN
TranID1010070120124133169,Blazar
TranID1010070121244121561,SN
TranID1010081150014101355,SN
TranID1010081230074139999,HPM
TranID1010081290014121920,SN
TranID1010091071124108408,CV
TranID1010091210144103864,CV
TranID1010091260074104386,SN?
TranID1010091290054106863,SN
TranID1010101211094109050,AGN
TranID1010101291064134766,SN
TranID1010101351004150592,Flare
TranID1010101380134129854,Nova?
TranID1010101400174141876,SN
TranID1010101430054165221,CV
TranID1010110010084107400,SN
TranID1010110071174108849,AGN?
TranID1010110211024156476,SN
TranID1010111011204118970,Flare
TranID1010111040144109294,AGN
TranID1010120040234230134,SN
TranID1010120070044125126,HPM
TranID1010120150064102021,SN
TranID1010120151214124654,SN
TranID1010120151224127381,SN
TranID1010120211144113147,CV
TranID1010121040244104029,CV
TranID1010121181154143734,Flare
TranID1010130070124104320,Blazar
TranID1010130070124115794,Flare
TranID1010130070244116923,CV
TranID1010130090154101363,HPM
TranID1010130090214116671,SN
TranID1010131150144122270,SN
TranID1010131180114127827,HPM
TranID1010131180154105069,CV
TranID1010140090174125659,CV
TranID1010140210074119678,SN
TranID1010171260094102098,HPM
TranID1010190150134113452,AGN
TranID1010191380774115803,HPM
TranID1010280150184125549,SN
TranID1010281290074137474,AGN
TranID1010290010144110138,Unknown
TranID1010290121214102152,Unknown
TranID1010291010204113719,SN
TranID1010291040204101820,CV
TranID1010291180264169858,SN
TranID1010291290124145820,SN?
TranID1010291320134122717,CV
TranID1010300090194114326,SN
TranID1010301010174129385,CV
TranID1010301070074100959,SN
TranID1010301071234131995,SN
TranID1010310070314111174,SN
TranID1010311181124161429,Unknown
TranID1010311290404125624,HPM
TranID1010311350044119900,CV
TranID1010311350054106115,Unknown
TranID1011011120124124275,SN?
TranID1011011150104102934,CV
TranID1011011150204123200,SN
TranID1011011260434138055,SN
TranID1011020151234106150,Unknown
TranID1011020151234115187,HPM
TranID1011020210114134767,HPM
TranID1011021380734143685,AGN
TranID1011021460284108638,HPM
TranID1011030120264112859,SN
TranID1011030180194118420,CV
TranID1011030210244105562,CV
TranID1011031090484111611,Flare
TranID1011041210014132134,Flare
TranID1011051210114114362,Flare
TranID1011051320024147567,AGN
TranID1011061041274110862,Flare
TranID1011061090234135036,SN
TranID1011061430724133382,Unknown
TranID1011070010184229345,Flare
TranID1011070010194233970,CV
TranID1011070070244114576,Flare
TranID1011071210024138139,SN
TranID1011080040034140632,Unknown
TranID1011080040044131101,HPM
TranID1011080070294133784,AGN
TranID1011080090324123107,CV
TranID1011080180304107862,CV
TranID1011081230504119481,SN
TranID1011081380114117622,SN
TranID1011101070154125768,SN
TranID1011101120514117494,Flare
TranID1011101350374137703,HPM
TranID1011111120014121468,AGN
TranID1011111150034118129,SN
TranID1011111320014118756,Blazar
TranID1011111320024146366,CV
TranID1011130010544134963,CV
TranID1011130180164101206,Flare
TranID1011130180224123656,SN
TranID1011130210074111848,Blazar?
TranID1011131071254112365,CV
TranID1011131320804153167,CV
TranID1011131400724139601,YSO
TranID1011140010064126302,SN
TranID1011141010064107249,HPM
TranID1011141010084122106,Blazar
TranID1011141070224114414,CV
TranID1011151010294107505,CV
TranID1011151010314107453,AGN
TranID1011151230394154571,Unknown
TranID1011151230454106363,SN
TranID1011151380994140667,HPM
TranID1011151400984110812,Unknown
TranID1011160010193123255,SN
TranID1011160040164121254,Blazar
TranID1011160151074147665,SN
TranID1011270121154113440,SN
TranID1011271040014129121,HPM
TranID1011271090094109951,CV
TranID1011281010204114579,AGN
TranID1011281090164116065,SN
TranID1011281090284102188,Ast?
TranID1011281400464120991,Flare
TranID1011281400464127150,Unknown
TranID1011300040294155925,Unknown
TranID1011300071144118285,SN?
TranID1011301180544138966,HPM
TranID1012010210214132696,CV
TranID1012011210024127861,CV
TranID1012011230494112462,LPV
TranID1012021070194105972,SN
TranID1012021090064118886,CV
TranID1012031010504122216,Unknown
TranID1012031350404119449,Unknown
TranID1012031380384133667,Unknown
TranID1012031380394141353,SN
TranID1012041070134108143,SN?
TranID1012041320074131511,Flare
TranID1012060040494101697,AGN
TranID1012060040584115092,AGN
TranID1012060090074115654,Unknown
TranID1012061010234104635,SN
TranID1012071260164133182,SN
TranID1012071350204145375,SN
TranID1012071380104223832,CV
TranID1012081070284131034,HPM
TranID1012081290434119905,HPM
TranID1012090010134125895,CV
TranID1012090011224116306,SN
TranID1012091210054124208,HPM
TranID1012100070244133216,HPM
TranID1012100090214119081,SN
TranID1012100090264109952,Unknown
TranID1012101180174114485,CV
TranID1012101320084121519,HPM
TranID1012110040624115724,HPM
TranID1012110040624125440,HPM
TranID1012110090284133663,AGN
TranID1012110210254124854,SN
TranID1012111230554117718,SN
TranID1012111320494136424,HPM
TranID1012111350464134032,SN
TranID1012121290034112135,SN
TranID1012130150064120119,SN
TranID1012130210104111544,Unknown
TranID1012131381014109204,SN
TranID1012140040114122621,SN?
TranID1012140150224122033,HPM
TranID1012140180304146295,HPM
TranID1012140210294136929,HPM
TranID1012141180124125553,AGN
TranID1012141260544133322,SN
TranID1012141320504109859,HPM
TranID1101020120734122317,SN
TranID1101031210544131953,SN
TranID1101031230454123762,SN
TranID1101031290244193081,CV
TranID1101031380394131761,CV
TranID1101040090314130575,AGN
TranID1101040091254103774,SN?
TranID1101041070664219915,SN
TranID1101041071234110880,SN
TranID1101041230144125008,HPM
TranID1101041230164121856,CV
TranID1101051400394103098,SN
TranID1101081260504117653,CV
TranID1101081260534135780,HPM
TranID1101081350454129655,Unknown
TranID1101110180314143037,SN
TranID1101111090594116852,HPM
TranID1101130040254141317,SN
TranID1101130070264123135,CV
TranID1101131010494140457,SN
TranID1101131210514104253,SN
TranID1101140040504131940,SN
TranID1101140070504144585,SN
TranID1101140090534107892,CV
TranID1101140120564138796,SN?
TranID1101140120594113960,CV
TranID1101140180254114459,SN
TranID1101140180484163514,CV
TranID1101140180564116417,SN
TranID1101150070584108218,Flare
TranID1101151180704125371,SN?
TranID1101151181224113126,CV/SN
TranID1101151380034121388,SN
TranID1101151400034126054,SN
TranID1101160070644123338,SN?
TranID1101161290554104456,SN?
TranID1101161320054126530,SN
TranID1101161380494104920,SN
TranID1101161380514121768,AGN
TranID1101241090574129503,CV
TranID1101241120454105248,HPM
TranID1101241180184124491,CV
TranID1101251070284140740,Blazar
TranID1101251070494126453,SN
TranID1101251090234223206,QSO
TranID1101251120244103162,SN
TranID1101271090284129280,AGN
TranID1101280010694114829,Blazar
TranID1101281260554137473,CV
TranID1101281290454112646,Flare
TranID1101281350324101650,CV
TranID1101290010614120965,CV/SN
TranID1101290040204119818,CV
TranID1101301210074122822,SN
TranID1101301430404147758,HPM
TranID1102041070174118422,CV
TranID1102041210434115267,SN
TranID1102050090654144864,SN
TranID1102050120654141302,SN
TranID1102050150634124006,HPM
TranID1102051090844106803,Flare
TranID1102051180544128471,HPM
TranID1102051290484113869,SN
TranID1102061230624108216,HPM
TranID1102070150324113956,AGN
TranID1102070150524121000,HPM
TranID1102070180244109718,CV
TranID1102080090574128001,HPM
TranID1102080090744133918,Blazar
TranID1102081010244125249,SN
TranID1102081010474158290,AGN
TranID1102090010794130412,AGN
TranID1102091460284125765,SN
TranID1102100070604134362,SN
TranID1102100210294107893,Flare
TranID1102101180574123330,HPM
TranID1102101180584102011,Unknown
TranID1102101180614106992,SN
TranID1102101210594136098,SN
TranID1102101210594143788,HPM
TranID1102101210604128190,SN
TranID1102120040824106911,AGN
TranID1102120070634125955,AGN
TranID1102120070644118081,HPM
TranID1102121010514116544,SN
TranID1102121070714133319,Unknown
TranID1102121070724106436,CV
TranID1102121070724121825,CV
TranID1102121090744118637,Flare
TranID1102230010574103647,AGN
TranID1102231070564133502,SN
TranID1102231090554106250,AGN
TranID1102231350604110103,CV
TranID1102241290424127830,HPM
TranID1102241290434237998,SN
TranID1102250070614142432,SN
TranID1102251180174134438,SN
TranID1102251290634109720,HPM
TranID1102251290644119477,Flare
TranID1102251290664139390,HPM
TranID1102260150524119509,Blazar
TranID1102260150544125462,SN
TranID1102261230574109109,SN
TranID1102261260574113920,SN
TranID1102261260604109602,SN
TranID1102261260604135564,Unknown
TranID1102261290494105303,HPM
TranID1102261290584150627,SN
TranID1102261320544131285,HPM
TranID1102261350484104027,SN
TranID1103010120604118515,AGN
TranID1103010150464163396,SN
TranID1103010180594116127,YSO
TranID1103011040824130139,SN
TranID1103011210244144773,AGN
TranID1103011210394137153,SN
TranID1103011320664136360,SN
TranID1103020040694102816,HPM
TranID1103020040694108268,Flare
TranID1103021180524113561,AGN
TranID1103021180544101250,Unknown
TranID1103021180644127479,SN
TranID1103021210544107799,CV
TranID1103021230624105270,SN
TranID1103041070634134344,SN
TranID1103050040844106641,SN
TranID1103051070734123798,HPM
TranID1103051290464145262,AGN
TranID1103051290504110890,SN
TranID1103051320504137801,SN
TranID1103060090544123204,SN
TranID1103061090734110235,AGN
TranID1103061090814103414,CV
TranID1103081210694128465,SN
TranID1103090040474141871,SN?
TranID1103090040484148259,SN
TranID1103090150704112168,HPM
TranID1103090210754157685,HPM
TranID1103091210714125129,SN
TranID1103091230694138108,SN
TranID1103091290644104724,SN
TranID1103100010174116151,SN?
TranID1103101350584115193,SN
TranID1103101460294148007,LPV
TranID1103110090564131921,CV
TranID1103111070664105772,YSO
TranID1103111090504132096,HPM
TranID1103111090544109078,SN
TranID1103111180754104400,HPM
TranID1103111180774101327,AGN
TranID1103111210754112475,Unknown
TranID1103111210754142976,Unknown
TranID1103111210754143894,SN
TranID1103121520334134087,AGN
TranID1103121520434112450,AGN
TranID1103130010704109438,SN
TranID1103130180704131543,SN
TranID1103131070724106121,SN
TranID1103141290534131906,CV
TranID1103141320434111930,AGN
TranID1103161260694125129,Unknown
TranID1103161400604128161,SN
TranID1103240040654148326,HPM
TranID1103241090554135108,SN
TranID1103250010614139940,Blazar
TranID1103250070674112217,SN
TranID1103251090574109083,HPM
TranID1103251180584134410,CV
TranID1103260070534102536,Flare
TranID1103260070534123140,Unknown
TranID1103261320584123035,CV
TranID1103270040824118940,SN
TranID1103271230484143622,SN?
TranID1103271230724108822,SN
TranID1103271320474107414,SN
TranID1103281070694141533,HPM
TranID1103281260734125627,HPM
TranID1103281260744127610,HPM
TranID1103281290384113038,Flare
TranID1103281350224120296,Unknown
TranID1103281350724109732,SN
TranID1103290090894121721,Flare
TranID1103290230684131567,SN
TranID1103300040624122348,CV
TranID1103301150814122387,Flare
TranID1103301210794125313,SN
TranID1103301320594118165,Blazar
TranID1103301460484119712,SN
TranID1104010010604125847,CV
TranID1104010150534111525,HPM
TranID1104010180674132878,AGN
TranID1104021550424114003,SN?
TranID1104021550454132704,HPM
TranID1104041040634118576,HPM
TranID1104041040714134148,Unknown
TranID1104041070604115635,Unknown
TranID1104041070684137743,SN/CV
TranID1104041090614125536,CV
TranID1104041120754123149,Unknown
TranID1104041150484138263,CV
TranID1104041180404115397,Unknown
TranID1104041180464131580,Flare
TranID1104041230404151904,HPM
TranID1104051010744147055,CV
TranID1104051010764122544,SN
TranID1104051010784130380,Unknown
TranID1104051180604124984,HPM
TranID1104051180634123568,Blazar
TranID1104051210484136574,CV
TranID1104061180754112037,AGN
TranID1104061230744115200,HPM
TranID1104061260674111875,SN
TranID1104061260754113690,CV
TranID1104061320674107078,HPM
TranID1104061320694106837,HPM
TranID1104081230564126079,SN
TranID1104081260664107222,Flare
TranID1104081350584137229,SN
TranID1104081350624104202,SN
TranID1104081350674124994,SN
TranID1104081380574122732,SN
TranID1104110041124106204,CV
TranID1104120040704127317,CV
TranID1104120070664106957,Flare
TranID1104121040644116540,SN
TranID1104121040734115429,AGN
TranID1104121070794117233,AGN
TranID1104131150874170907,SN
TranID1104131400294149908,SN
TranID1104141070804123992,Flare
TranID1104141320374107841,AGN
TranID1104141320794138720,SN
TranID1104141430694136992,AGN
TranID1104240010754104018,SN?
TranID1104251230694109750,SN
TranID1104251230844112098,SN
TranID1104260010644109887,SN
TranID1104260090624137455,SN
TranID1104260120624130098,SN
TranID1104260180614119649,SN
TranID1104260180644122337,HPM
TranID1104261120684119537,SN
TranID1104261120904156424,HPM
TranID1104261121164126921,SN
TranID1104261260724113314,HPM
TranID1104261350714125700,Blazar
TranID1104261400684131134,SN?
TranID1104270090804120222,SN
TranID1104271400574107911,SN
TranID1104271430524118195,SN
TranID1104271430584112013,Flare
TranID1104271430614143655,SN
TranID1104271460494129915,LPV
TranID1104271460514101819,Blazar
TranID1104271460514137429,Flare
TranID1104271490444118661,AGN
TranID1104271490474133022,AGN
TranID1104271490494115473,CV
TranID1104281210694109673,SN?
TranID1104281380304112024,AGN
TranID1104281400414125978,SN
TranID1104281430634140646,SN
TranID1104290011144106641,AGN
TranID1104291120774130563,SN
TranID1104291180564125364,Flare
TranID1104291210564131045,SN
TranID1104291210594142890,SN
TranID1104291230534105550,SN
TranID1104291400294112297,SN
TranID1104300121104103880,SN
TranID1104301320434110403,SN
TranID1105011210504111881,Blazar
TranID1105011520504112888,Blazar
TranID1105011520514108884,SN
TranID1105021350554101034,AGN
TranID1105021550224130765,SN
TranID1105030010494139841,SN
TranID1105030040504134031,SN?
TranID1105031210794111023,HPM
TranID1105031290524128495,CV
TranID1105031290534135294,Unknown
TranID1105031400494106710,SN?
TranID1105031630324106508,Unknown
TranID1105040010554104018,HPM
TranID1105041380534110947,SN
TranID1105041380544116798,SN
TranID1105060040854123997,CV
TranID1105061230774132097,SN
TranID1105061460454102381,AGN
TranID1105061520424116895,Ast?
TranID1105070040714143962,SN
TranID1105071350744129416,AGN
TranID1105081150804135655,SN
TranID1105120260674103467,AGN
TranID1105121290674113405,AGN
TranID1105121350404109472,SN
TranID1105121350644129864,CV
TranID1105130041134149159,AGN
TranID1105130260734133788,AGN
TranID1105131071194105275,AGN
TranID1105131490324110809,Flare
TranID1105141600304117225,Flare
TranID1105141660354112704,Blazar
TranID1105200150784122250,AGN
TranID1105201010824136363,SN
TranID1105201121174113562,SN
TranID1105201290594110800,SN
TranID1105241010704124644,HPM
TranID1105241150644113130,CV
TranID1105250040794109366,HPM
TranID1105250120744147105,CV?
TranID1105251150774137168,Unknown
TranID1105251150824111853,SN/CV
TranID1105251210754139550,HPM
TranID1105251230744110738,SN
TranID1105261180674132072,AGN
TranID1105261210664103986,HPM
TranID1105270041164147506,YSO
TranID1105271260674101879,SN
TranID1105271290664147324,YSO
TranID1105271320664124545,HPM
TranID1106021230774137681,SN
TranID1106030010924119967,AGN
TranID1106030090804118443,CV
TranID1106030120874113978,SN
TranID1106040070854120186,Nova
TranID1106040210844128759,CV
TranID1106040230824154629,SN
TranID1106051150794129411,Mira
TranID1106051350744108815,SN
TranID1106060010764124342,Ast?
TranID1106061121124182967,CV
TranID1106070010614108286,SN
TranID1106070070614107631,SN
TranID1106071400654101671,SN?
TranID1106091210774115315,HPM
TranID1106091400584128136,Var
TranID1106091430394126567,SN
TranID1106091460514127317,SN
TranID1106101290854138513,AGN?
TranID1106101320834120295,LHS_5157
TranID1106101350804125610,HPM
TranID1106101380624102629,SN
TranID1106101520474116185,Nova
TranID1106111070884131228,SN
TranID1106111260764139610,HPM
TranID1106111320694137973,HPM
TranID1106111350474117100,Var
TranID1106121120634119163,SN
TranID1106121150614113883,CV
TranID1106121180634112775,SN
TranID1106131091164120795,SN
TranID1106131350674124017,Unknown
TranID1106131630404111710,Flare
TranID1106210071094164382,CV
TranID1106210091084179317,SN
TranID1106230040724111069,SN
TranID1106230121174138784,SN
TranID1106231070924122777,Var
TranID1106231150914161482,CV
TranID1106241010684107404,Unknown
TranID1106241010694118297,Unknown
TranID1106241070734138383,Unknown
TranID1106241070834132854,CV
TranID1106281090764135376,AGN?
TranID1106281120744122021,Flare
TranID1106281150754114905,SN
TranID1106281211124109922,CV
TranID1106300040664124267,SN
TranID1107010040834139996,HPM
TranID1107010071244113143,AGN
TranID1107010211074141939,CV?
TranID1107011040034131568,Flare
TranID1107011120094102684,SN
TranID1107011120104119909,SN
TranID1107011150104107901,CV
TranID1107021041264109182,Unknown
TranID1107021180094118167,SN
TranID1107030071114165760,SN
TranID1107030071174105491,YSO?
TranID1107030151164136669,Flare
TranID1107031070764142675,CV
TranID1107031350754120112,Var
TranID1109180041254129754,CV
TranID1109180071244109258,AGN
TranID1109181011234130569,SN?
TranID1109181041214105836,CV
TranID1109181041214127798,AGN
TranID1109181041224123976,SN
TranID1109181070024115267,SN
TranID1109181260824120853,SN
TranID1109190011114173187,SN
TranID1109190121114107721,CV
TranID1109190151184111644,Flare
TranID1109191040054134919,CV
TranID1109191091224136211,Flare
TranID1109200090054128813,Blazar?
TranID1109201210794130197,CV
TranID1109210010054127979,SN
TranID1109210010064139552,SN
TranID1109211070144138167,SN
TranID1109211120074116827,AGN
TranID1109211150844146881,Blazar
TranID1109211210014107917,CV
TranID1109211291054157070,CV?
TranID1109221321074116304,SN
TranID1109230070203125535,CV
TranID1109230181234122987,Flare
TranID1109230231114129617,CV
TranID1109231120234136074,SN
TranID1109231260224137668,SN?
TranID1109240090114106079,SN?
TranID1109241290094101455,CV
TranID1109241350074121359,SN
TranID1109251210404110806,AGN
TranID1109260040234128189,CV?
TranID1109260070234114098,Blazar
TranID1109261070014122864,AGN
TranID1109281090184132785,SN
TranID1109290091254140479,SN
TranID1109291090214135845,SN
TranID1109291120214146918,HPM
TranID1109291260164132993,SN
TranID1109300011114151150,SN
TranID1109300071124153856,SN?
TranID1109301041154116618,LPV
TranID1109301180114106824,CV
TranID1109301400304127819,SN
TranID1109301460284140459,SN
TranID1110010040124112111,CV
TranID1110010040154108586,CV
TranID1110030260084132942,CV
TranID1110031010314155163,SN
TranID1110041231084160493,Flare
TranID1110041261074109922,Flare
TranID1110061260014124074,SN
TranID1110061320094139400,SN
TranID1110061400064119848,HPM
TranID1110150071224124349,Blazar
TranID1110150071234137016,CV
TranID1110161180084108543,CV
TranID1110170040194113879,HPM
TranID1110170041194139877,HPM
TranID1110171090534127312,SN
TranID1110171150094126930,SN
